Question,Location Name,Answer,Count
Daughters Married or Pregnant before 18,Kasese,N/A,16
Daughters Married or Pregnant before 18,Kasese,No,109
Daughters Married or Pregnant before 18,Kasese,Yes,25
Distance from Source of Water,Kasese,1-2km,36
Distance from Source of Water,Kasese,2-5 km,14
Distance from Source of Water,Kasese,500m to 1km,46
Distance from Source of Water,Kasese,Above 5km,4
Distance from Source of Water,Kasese,Less than 500m,50
Either Spouse below 18 when had First Child,Kasese,N/R,2
Either Spouse below 18 when had First Child,Kasese,N/R,7
Either Spouse below 18 when had First Child,Kasese,No,105
Either Spouse below 18 when had First Child,Kasese,Yes,36
Food Relief Assistance used Last Season,Kasese,N/R,6
Food Relief Assistance used Last Season,Kasese,No,141
Food Relief Assistance used Last Season,Kasese,Yes,3
Good Crop of Vegetables in Garden,Kasese,N/R,1
Good Crop of Vegetables in Garden,Kasese,N/R,4
Good Crop of Vegetables in Garden,Kasese,No,26
Good Crop of Vegetables in Garden,Kasese,Yes,119
Harvested Food lasted until Next Harvest,Kasese,No,34
Harvested Food lasted until Next Harvest,Kasese,Yes,116
Have Vegetable Garden,Kasese,No,11
Have Vegetable Garden,Kasese,Yes,139
Income of Household Head Shillings/Month,Kasese,1-50000,25
Income of Household Head Shillings/Month,Kasese,100001–150000,30
Income of Household Head Shillings/Month,Kasese,150001–250000,37
Income of Household Head Shillings/Month,Kasese,250001-350000,8
Income of Household Head Shillings/Month,Kasese,350000+,22
Income of Household Head Shillings/Month,Kasese,50001–100000,28
Main Occupation of Head of Household,Kasese,Formal/Salaried Employment,12
Main Occupation of Head of Household,Kasese,Others,3
Main Occupation of Head of Household,Kasese,Piece/Casual Work/Wage Labour,2
Main Occupation of Head of Household,Kasese,Self Employed (Non-Farming),6
Main Occupation of Head of Household,Kasese,Subsistence Farmer/Pastoralist,126
Main Occupation of Head of Household,Kasese,Unemployed,1
Main Source of Bananas,Kasese,Don't Know,1
Main Source of Bananas,Kasese,Donation,19
Main Source of Bananas,Kasese,N/A,61
Main Source of Bananas,Kasese,N/R,1
Main Source of Bananas,Kasese,Purchased/Borrowed/Acquired,37
Main Source of Bananas,Kasese,Retained,31
Main Source of Beans Seed,Kasese,Donation,11
Main Source of Beans Seed,Kasese,N/A,6
Main Source of Beans Seed,Kasese,N/R,1
Main Source of Beans Seed,Kasese,Purchased/Borrowed/Acquired,40
Main Source of Beans Seed,Kasese,Retained,92
Main Source of Cassava Seed,Kasese,Donation,2
Main Source of Cassava Seed,Kasese,N/A,71
Main Source of Cassava Seed,Kasese,Purchased/Borrowed/Acquired,21
Main Source of Cassava Seed,Kasese,Retained,56
Main Source of Coffee/Coffee Seeds,Kasese,Don't Know,1
Main Source of Coffee/Coffee Seeds,Kasese,Donation,43
Main Source of Coffee/Coffee Seeds,Kasese,N/A,42
Main Source of Coffee/Coffee Seeds,Kasese,N/R,1
Main Source of Coffee/Coffee Seeds,Kasese,Purchased/Borrowed/Acquired,41
Main Source of Coffee/Coffee Seeds,Kasese,Retained,22
Main Source of Cooking Energy,Kasese,Electricity,1
Main Source of Cooking Energy,Kasese,Firewood/Charcoal in Open Fire,22
Main Source of Cooking Energy,Kasese,Firewood/Charcoal with Energy Saving Stove,125
Main Source of Cooking Energy,Kasese,Other,2
Main Source of Drinking/Domestic Water,Kasese,Borehole,9
Main Source of Drinking/Domestic Water,Kasese,Lake/Dam/Water Pan,2
Main Source of Drinking/Domestic Water,Kasese,Piped Water,51
Main Source of Drinking/Domestic Water,Kasese,Protected Spring,9
Main Source of Drinking/Domestic Water,Kasese,River/River Bed,77
Main Source of Drinking/Domestic Water,Kasese,Tankering,2
Main Source of Income for the Household,Kasese,Formal/Salaried Employment,8
Main Source of Income for the Household,Kasese,Livestock and Crop Farming,108
Main Source of Income for the Household,Kasese,Others,1
Main Source of Income for the Household,Kasese,Piece/Casual Work/Wage Labour,1
Main Source of Income for the Household,Kasese,Sale of own Crops,23
Main Source of Income for the Household,Kasese,Self-Employed,9
Main Source of Maize Seed,Kasese,Donation,12
Main Source of Maize Seed,Kasese,N/A,24
Main Source of Maize Seed,Kasese,Purchased/Borrowed/Acquired,30
Main Source of Maize Seed,Kasese,Retained,84
